STATEPLANEFIPS,EPSG
1103,26970
1101,26968
402,26942
405,26945
2600,32104
101,26929
5001,26931
102,26930
3501,32124
1402,26976
3402,32123
4502,32147
3401,32122
1401,26975
3502,32125
1701,26981
1702,26982
1001,26966
401,26941
406,26946
404,26944
2203,26993
1602,26980
1601,2205
2703,32109
2701,32107
2702,32108
2113,26990
3702,32129
901,26958
3701,32128
902,26959
903,26960
4002,32135
4501,32146
4601,32148
4001,32134
1201,26971
301,26951
302,26952
5200,32161
4602,32149
4205,32141
3200,32119
2302,26995
4202,32138
4203,32139
3101,32115
1502,26978
4204,32140
1002,26967
2402,26997
503,26955
4702,32151
502,26954
1302,26974
1301,26973
2403,26998
4803,32154
4801,32152
4802,32153
2900,32111
4100,32136
403,26943
1102,26969
2202,26992
4902,32156
4904,32158
4901,32155
2112,26989
4302,32143
2111,26988
1501,26977
3102,32116
3103,32117
501,26953
2800,32110
2401,26996
5007,26937
5002,26932
3302,32121
4201,32137
3104,32118
2500,32100
3900,32133
2301,26994
3002,32113
3003,32114
3001,32112
5004,26934
5006,26936
2201,26991
1202,26972
4701,32150
1900,26985
5003,26933
5104,26964
5102,26962
5103,26963
5101,26961
1802,26984
1801,26983
4303,32144
4400,32145
3301,32120
3602,32127
4301,32142
3601,32126
3800,32130
203,26950
600,26956
202,26949
5008,26938
5005,26935
201,26948
700,26957
4903,32157
2001,26986
2002,26987
5010,26940
